제목,저자,출판사,출판일,가격
상록수,심훈,문학과지성사,2005년 06월,"11,250"
수난이대,하근찬,사피엔스21,2012년 07월,"7,200"
너에게 별이 되기를,박중장,북랩,2023년 11월,"15,120"
목소리를 드릴게요,정세랑,아작,2020년 01월,"13,320"
살의의 형태,홍정기,서랍의날씨,2023년 12월,"15,210"
소심한 사람들만 남았다,김이환,북다,2023년 06월,"12,600"
비대칭 인간,이은정,득수,2023년 11월,"15,300"
파씨의 입문,황정은,창비,2012년 01월,"11,700"
못 먹는 남자,정해연,엘릭시르,2023년 08월,"14,220"
아버지에게 갔었어,신경숙,창비,2021년 03월,"12,600"
기억 서점,정명섭,시공사,2021년 10월,"12,420"
사랑의 꿈,손보미,문학동네,2023년 03월,"14,850"
태평천하,채만식,민음사,2022년 08월,"12,600"
한국단편문학선 2,김동인,민음사,1999년 03월,"9,900"
젊은 날의 초상,이문열,알에이치코리아(RHK),2020년 06월,"13,500"
사랑 파먹기,권혜영,민음사,2023년 07월,"13,500"
일 퍼센트,김태호,사계절,2021년 07월,"8,100"
손 흔드는 소설,최은영,창비교육,2022년 12월,"15,300"
달밤,이태준,애플북스,2014년 06월,"12,420"
이상작품집 (미니북),이상,자화상,2019년 12월,"5,310"
젊은작가상 수상작품집 10주년 특별판,편혜영,문학동네,2019년 04월,"6,930"
연아의 봄,이인애,&(앤드),2023년 11월,"12,150"
단순한 진심,조해진,민음사,2019년 07월,"11,700"
"죽음과 세금은 피할 수 없다, 드래곤 역시",홍락훈,에이플랫,2023년 09월,"15,750"
그해 겨울은 따뜻했네 1,박완서,세계사,2012년 01월,"13,500"
해방의 계절,신세연,수금,2023년 11월,"15,120"
룬의 아이들 - 블러디드 4,전민희,엘릭시르,2021년 04월,"13,050"
늙지 않기에 힘든 우리,정시화,하움출판사,2023년 05월,"14,400"
인어 사냥 ,차인표,해결책,2022년 10월,"13,500"
퇴마록 국내편 1,이우혁,엘릭시르,2011년 09월,"15,300"
창모,우다영,아시아,2019년 04월,"7,650"
장미의 이름은 장미,은희경,문학동네,2022년 01월,"13,500"
야만적인 앨리스씨,황정은,문학동네,2023년 10월,"13,500"
망각의 도시,김동식,현대문학,2023년 10월,"14,400"
세월의 돌 4,전민희,제우미디어,2015년 07월,"9,000"
세월의 돌 6,전민희,제우미디어,2015년 07월,"9,000"
세월의 돌 8,전민희,제우미디어,2015년 07월,"9,000"
세월의 돌 7,전민희,제우미디어,2015년 07월,"9,000"
세월의 돌 5,전민희,제우미디어,2015년 07월,"9,000"
인간 연습,조정래,해냄,2021년 04월,"15,120"
달빛수사,연여름,황금가지,2023년 11월,"15,300"
풀업,강화길,현대문학,2023년 08월,"12,600"
한산,김동하,고즈넉이엔티,2022년 07월,"14,400"
궁극의 아이,장용민,엘릭시르,2013년 03월,"12,420"
내가 아직 아이였을 때,김연수,문학동네,2016년 04월,"11,700"
호수의 일,이현,창비,2022년 01월,"12,600"
당신이 문을 열었습니다,윤설,책나물,2023년 11월,"15,030"
한국이 싫어서,장강명,민음사,2015년 05월,"12,600"
일곱 해의 마지막,김연수,문학동네,2020년 07월,"12,150"
혼불 10,최명희,매안출판사,2009년 07월,"10,450"
복수 법률 사무소 세트,도진기,황금가지,2022년 12월,"35,100"
호,정보라,읻다,2023년 05월,"13,500"
더블,정해연,해피북스투유,2023년 01월,"14,400"
그렇게 할 수밖에,최도담,네오픽션,2022년 12월,"12,600"
궁상각치우,강상범,역바연,2023년 07월,"13,500"
노랜드,천선란,한겨레출판,2022년 06월,"14,220"
파괴자들의 밤 ,서미애,안전가옥,2023년 06월,"14,400"
내가 뭐 어때서,황선만,삶창(삶이보이는창),2023년 10월,"13,500"
유령,정용준,현대문학,2018년 10월,"11,700"
토지 8,박경리,다산책방,2023년 06월,"15,300"
가시고기 우리 아빠,조창인,산지,2022년 02월,"15,300"
"달려라, 아비",김애란,창비,2019년 09월,"13,500"
레몬,권여선,창비,2019년 04월,"14,400"
혼불 6,최명희,매안출판사,2009년 07월,"10,450"
SF 보다 Vol.2  벽,듀나,문학과지성사,2023년 10월,"12,600"
길모퉁이에서 만난 사람,양귀자,쓰다,2015년 02월,"10,800"
너에게 하고 싶은 말,김선희,청색종이,2023년 10월,"12,150"
메스를 든 사냥꾼,최이도,해피북스투유,2023년 11월,"15,120"
소나기,황순원,맑은소리(동반인),2010년 01월,"6,300"
당신의 미래를 세탁해드립니다,정욱,북다,2023년 11월,"13,500"
플라멩코 추는 남자,허태연,다산책방,2021년 09월,"12,600"
바이러스 X,김진명,이타북스,2020년 11월,"14,220"
조커와 나,김중미,창비,2013년 01월,"11,700"
엘리베이터에 낀 그 남자는 어떻게 되었나,김영하,복복서가,2020년 07월,"9,000"
무정,이광수,민음사,2010년 07월,"9,000"
고독사 워크숍,박지영,민음사,2022년 06월,"13,500"
산으로 간 고등어,조성두,일곱날의빛,2023년 10월,"16,200"
고양이달 1 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
기나긴 하루,박완서,문학동네,2012년 01월,"10,800"
카피캣 식당,범유진,&(앤드),2023년 01월,"12,150"
젊은 느티나무,강신재,문학과지성사,2007년 07월,"11,250"
"안녕, 끌로이",박이강,북다,2023년 10월,"13,500"
룬의 아이들 - 블러디드 2,전민희,엘릭시르,2019년 09월,"13,050"
이 별이 마음에 들어,김하율,광화문글방,2023년 12월,"14,850"
사물의 눈,우경미,나비문,2023년 11월,"13,050"
소설 손자병법 세트,정비석,은행나무,2002년 11월,"41,400"
황만근은 이렇게 말했다,성석제,창비,2002년 06월,"12,600"
붉은 방/해변의 길손,한승원,문학사상,2001년 08월,"13,950"
"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,2020년 01월,"9,000"
탄금,장다혜,북레시피,2021년 02월,"15,300"
태백산맥 5,조정래,해냄,2020년 10월,"15,750"
세월의 돌 3,전민희,제우미디어,2015년 07월,"9,000"
세월의 돌 2,전민희,제우미디어,2015년 07월,"9,000"
잠이 오나요,이유리,위즈덤하우스,2023년 09월,"11,700"
물빛 푸를 린,자근오,팩토리나인,2023년 10월,"13,500"
광개토태왕 담덕 7,엄광용,새움,2023년 07월,"15,120"
예언,김진명,새움,2022년 12월,"14,850"
똑같은 얼굴,조규미,사계절,2023년 02월,"9,900"
고구려 5,김진명,이타북스,2021년 06월,"14,220"
19금wxy,박삼교희,청어,2013년 02월,"9,000"
마음에 없는 소리,김지연,문학동네,2022년 03월,"13,050"
침이 고인다,김애란,문학과지성사,2007년 09월,"13,500"
내 여자의 열매,한강,창비,2000년 03월,"9,900"
"여름 너머, 여름",한윤서,메이킹북스,2022년 12월,"12,420"
행운이 너에게 다가오는 중,이꽃님,문학동네,2020년 11월,"12,600"
날개·권태·종생기(외),이상,종합출판범우,2023년 10월,"11,700"
맹인의 거울,정무,메트릭,2023년 10월,"15,030"
아라의 소설,정세랑,안온북스,2022년 08월,"13,500"
웬만해선 아무렇지 않다,이기호,마음산책,2016년 02월,"11,250"
하염없이 무엇을 생각합니다,이화경,모놀로그(Monologue),2023년 11월,"15,300"
퇴마록 말세편 4,이우혁,엘릭시르,2012년 10월,"15,300"
덧니가 보고 싶어,정세랑,난다,2019년 11월,"11,700"
2023 올해의 문제소설,한국현대소설학회,푸른사상,2023년 02월,"16,650"
태백산맥 10,조정래,해냄,2020년 10월,"15,750"
소설 보다 : 봄 2020,김혜진,문학과지성사,2020년 03월,"3,150"
태백산맥 8,조정래,해냄,2020년 10월,"15,750"
세월의 돌 1,전민희,제우미디어,2015년 07월,"9,000"
까칠한 재석이 1~6권 세트,고정욱,애플북스,2020년 03월,"48,420"
태백산맥 1,조정래,해냄,2020년 10월,"15,750"
오늘 밤 황새가 당신을 찾아갑니다,이경,래빗홀,2023년 09월,"13,500"
고스트라이터즈,김호연,위즈덤하우스,2017년 04월,"14,400"
성공한 인생,김동식,요다,2018년 11월,"10,800"
토지 6,박경리,다산책방,2023년 06월,"15,300"
가면의 꿈,이청준,문학과지성사,2011년 12월,"10,800"
새로운 인생,백상현,뮈톨로기아,2023년 10월,"16,650"
멀리 있다 우루는 늦을 것이다,배수아,workroom(워크룸프레스),2019년 10월,"11,700"
해피 엔드,이주란,창비,2023년 10월,"12,600"
영원한 이방인,이창래,알에이치코리아(RHK),2015년 05월,"19,800"
표류도,박경리,다산책방,2023년 10월,"16,200"
마주,최은미,창비,2023년 08월,"15,120"
타인에게 말 걸기,은희경,문학동네,2023년 11월,"16,020"
달 드링크 서점,서동원,문학수첩,2022년 12월,"12,600"
선릉 산책,정용준,문학동네,2021년 10월,"12,600"
옥상에서 만나요,정세랑,창비,2018년 11월,"13,500"
상해임시정부,정명섭,고즈넉이엔티,2019년 01월,"11,700"
디 아이돌,서귤,위즈덤하우스,2022년 06월,"13,320"
새의 선물,은희경,문학동네,2014년 01월,"14,850"
혼불 3,최명희,매안출판사,2009년 07월,"10,450"
퀴즈쇼,김영하,복복서가,2022년 09월,"11,700"
흑룡전설 용지호,김봉래,문학동네,2014년 01월,"9,900"
욕조가 놓인 방,이승우,작가정신,2021년 10월,"11,700"
두고 온 여름,성해나,창비,2023년 03월,"12,600"
소녀 연예인 이보나,한정현,민음사,2020년 07월,"11,700"
홀 The Hole,편혜영,문학과지성사,2016년 03월,"11,700"
아리랑 1,조정래,해냄,2020년 10월,"15,750"
룬의 아이들 - 블러디드 3,전민희,엘릭시르,2020년 09월,"13,050"
트로츠키와 야생란,이장욱,창비,2022년 05월,"13,500"
천년의 금서,김진명,새움,2023년 01월,"13,950"
얼마나 닮았는가,김보영,아작,2020년 10월,"13,320"
마음을 치료하는 당신만의 물망초 식당,청예,팩토리나인,2022년 11월,"13,050"
공기주머니,엘라 사리,리앙(Rien),2023년 11월,"9,000"
여름과 루비,박연준,은행나무,2022년 07월,"13,050"
우리들의 일그러진 영웅,이문열,알에이치코리아(RHK),2020년 07월,"13,500"
너의 목소리가 들려,김영하,복복서가,2022년 09월,"10,800"
파도 아래 선한 눈,강준서,스튜디오구(Studio Gu),2023년 08월,"8,100"
"몰라도 되는 마음, 땅속의 귀신들도 이미, 여름의 봄",김여진,파도,2022년 12월,"11,700"
빛의 제국,김영하,복복서가,2022년 05월,"10,800"
아무도 모를 것이다,정보라,퍼플레인(갈매나무),2023년 01월,"15,300"
태백산맥 6,조정래,해냄,2020년 10월,"15,750"
심장에 수놓은 이야기,구병모,arte(아르테),2020년 03월,"9,000"
너무 한낮의 연애,김금희,문학동네,2016년 05월,"12,600"
줄리아나 도쿄,한정현,스위밍꿀,2019년 01월,"13,050"
불특정 다수,염유창,해피북스투유,2023년 09월,"15,750"
토지 5,박경리,다산책방,2023년 06월,"15,300"
고래,천명관,문학동네,2014년 01월,"14,850"
너와 막걸리를 마신다면,설재인,밝은세상,2021년 08월,"13,500"
어반 왈츠,채희철,포이에시스 ,2023년 11월,"14,400"
SF 보다 Vol.1 얼음,곽재식,문학과지성사,2023년 04월,"12,600"
하얀 늑대들 8,윤현승,제우미디어,2019년 07월,"15,120"
태초의 냄새,김지연,현대문학,2023년 10월,"12,600"
우아한 거짓말,김려령,창비,2014년 02월,"12,420"
아홉 켤레의 구두로 남은 사내,윤흥길,문학과지성사,2001년 02월,"11,700"
직지 1,김진명,쌤앤파커스,2019년 08월,"12,600"
깊은 슬픔,신경숙,문학동네,2006년 03월,"16,200"
고령화 가족,천명관,문학동네,2010년 02월,"10,800"
자두,이주혜,창비,2020년 08월,"12,600"
"문관, 갑옷을 입다",조동신,몽실북스,2023년 11월,"14,400"
어느 날 은유가 찾아왔다,박이강,교유서가,2023년 09월,"14,400"
봄봄 : 김유정 단편집,김유정,다림,2002년 01월,"9,000"
박완서 단편소설 전집,박완서,문학동네,2013년 06월,"100,350"
아몬드,손원평,창비,2017년 03월,"12,600"
이문열 초한지 세트,이문열,알에이치코리아(RHK),2020년 11월,"133,200"
여기는 Q대학교 입학처입니다,권제훈,&(앤드),2022년 09월,"12,150"
2020 김승옥문학상 수상작품집,김금희,문학동네,2020년 09월,"9,000"
카스테라,박민규,문학동네,2005년 06월,"12,600"
별을 스치는 바람,이정명,은행나무,2018년 03월,"13,500"
이중 작가 초롱,이미상,문학동네,2022년 11월,"13,950"
더 셜리 클럽,박서련,민음사,2020년 08월,"12,600"
고구려 1,김진명,이타북스,2021년 06월,"14,220"
2022 김승옥문학상 수상작품집,편혜영,문학동네,2022년 09월,"9,000"
인류보호회사 3,짤짤이,시공사,2023년 08월,"13,500"
그러니 귀를 기울여,김은우,무무책방,2023년 12월,"11,700"
달의 의지,황현진,은행나무,2023년 04월,"10,800"
봄빛,정지아,창비,2008년 03월,"12,600"
첫사랑이 언니에게 남긴 것,이서수,위즈덤하우스,2023년 11월,"11,700"
신체 조각 미술관,이스안,팩토리나인,2023년 08월,"13,500"
모래도시 속 인형들,이경희,안전가옥,2022년 05월,"11,700"
복자에게,김금희,문학동네,2020년 09월,"12,600"
여성작가 SF 단편모음집,김지현,온우주,2018년 03월,"13,500"
노량,박성종,북오션,2023년 12월,"15,300"
언더고잉,김민주,강,2023년 11월,"12,600"
스노볼 1,박소영,창비,2021년 12월,"13,500"
우상의 눈물,전상국,민음사,2005년 10월,"9,900"
하늘이여 땅이여 1 ,김진명,이타북스,2023년 04월,"15,120"
국립존엄보장센터,남유하,서해문집,2022년 05월,"11,250"
퓨처워커 1~4권 세트,이영도,황금가지,2011년 12월,"43,200"
하늘이여 땅이여 2,김진명,이타북스,2023년 04월,"15,120"
그렇게 우리의 이름이 되는 것이라고,신유진,1984Books(일구팔사북스),2023년 04월,"13,500"
제2회 한국과학문학상 수상작품집,김초엽,허블,2018년 03월,"10,800"
병신과 머저리,이청준,문학과지성사,2010년 07월,"11,700"
한국추리소설 걸작선 2,김재희,한스미디어,2012년 08월,"15,300"
호텔 이야기,임경선,토스트,2022년 11월,"13,500"
태백산맥 7,조정래,해냄,2020년 10월,"15,750"
사랑손님과 어머니,주요섭,문학과지성사,2012년 08월,"8,550"
청부살인 협동조합 ,김동식,요다,2022년 11월,"12,600"
마지막 사도 1,장용민,재담북스,2023년 01월,"14,400"
성밖 숲 ,김수길,등대지기,2022년 03월,"16,200"
하얀 늑대들 9,윤현승,제우미디어,2019년 07월,"15,120"
감방에서 남자주인공을 만났습니다 1,문시현,위즈덤하우스,2020년 09월,"12,600"
세상에서 가장 아름다운 이별,노희경,북로그컴퍼니,2015년 05월,"11,520"
모래도시 속 인형들 2,이경희,안전가옥,2023년 11월,"14,400"
크로노토피아,조영주,요다,2023년 12월,"15,300"
어제를 기억하는 여덟 개의 방식,김선욱,은행나무,2023년 11월,"9,000"
잃어버린 사람,김숨,모요사,2023년 07월,"18,000"
직지 2,김진명,쌤앤파커스,2019년 08월,"12,600"
불멸의 노래 1,류은경,책마실,2023년 11월,"14,400"
현의 노래,김훈,문학동네,2012년 01월,"13,500"
비탈진 음지,조정래,해냄,2011년 07월,"15,750"
불장난,손보미,문학사상,2022년 01월,"13,950"
나로 만든 집,박영란,우리학교,2021년 12월,"11,700"
불편한 편의점 (큰글자도서),김호연,나무옆의자,2022년 08월,"29,000"
막 너머에 신이 있다면,김준녕,허블,2022년 08월,"14,400"
백성 1부 1 ,김동민,문이당,2023년 10월,"16,200"
디어 마이 송골매,이경란,교유서가,2023년 09월,"13,500"
몫,최은영,미메시스,2018년 09월,"7,020"
철도원 삼대,황석영,창비,2020년 06월,"18,000"
한국추리소설 걸작선 1,김내성,한스미디어,2023년 03월,"18,900"
태백산맥 4,조정래,해냄,2020년 10월,"15,750"
우리의 정류장과 필사의 밤,김이설,작가정신,2020년 10월,"10,800"
산 자들,장강명,민음사,2019년 06월,"12,600"
죽음의 한 연구,박상륭,문학과지성사,2020년 07월,"18,000"
메밀꽃 필 무렵,이효석,사피엔스21,2012년 07월,"6,300"
"사실은, 단 한 사람이면 되었다",정해연,북멘토,2023년 02월,"12,420"
정글만리 3,조정래,해냄,2013년 07월,"14,850"
춘향전,백범영,민음사,2004년 04월,"10,800"
프리즘,손원평,은행나무,2020년 09월,"12,150"
이문열 초한지 1,이문열,알에이치코리아(RHK),2020년 11월,"13,320"
마지막 사도 2,장용민,재담북스,2023년 01월,"14,400"
타워,배명훈,문학과지성사,2020년 02월,"13,500"
연년세세 年年歲歲,황정은,창비,2020년 09월,"13,050"
나의 여자 친구,서미애,위즈덤하우스,2023년 10월,"11,700"
당신이 사랑을 하면 우리는 복수를 하지,범유진,안전가옥,2023년 06월,"14,400"
드래곤 라자 8,이영도,황금가지,2008년 11월,"13,500"
신을 받으라,박해로,네오픽션,2019년 07월,"11,700"
까칠한 재석이가 돌아왔다,고정욱,애플북스,2021년 12월,"10,800"
먼 빛들,최유안,&(앤드),2023년 11월,"11,700"
"1945, 철원",이현,창비,2023년 07월,"14,220"
스노볼 2,박소영,창비,2021년 12월,"13,500"
짐승처럼,임솔아,현대문학,2023년 06월,"12,600"
한강 1,조정래,해냄,2020년 11월,"15,750"
"네 세상이 어둠이 된다고 해도, 내가 너의 빛이 되어줄게",시울,하이스트,2023년 07월,"14,400"
수평선 여기 있어요,이명훈,북마크,2023년 11월,"14,400"
박하,허수경,문학동네,2011년 12월,"14,220"
"친애하고, 친애하는",백수린,현대문학,2019년 02월,"12,600"
빛을 걷으면 빛,성해나,문학동네,2022년 05월,"13,500"
악마의 계약서는 만기 되지 않는다,리러하,팩토리나인,2022년 08월,"13,050"
김유정 소설집,김유정,피치마켓,2018년 08월,"13,500"
2024 신예작가,공현진,한국소설가협회,2023년 11월,"14,250"
불멸의 노래 3,류은경,책마실,2023년 11월,"15,300"
세노테 다이빙,노은지,마시멜로,2023년 03월,"12,420"
무지개를 보다,이수배,책과나무,2023년 11월,"14,400"
물로 씌어진 이름 1,복거일,백년동안,2023년 07월,"18,000"
옥수수와 나,김영하,문학사상,2012년 01월,"12,420"
믿음에 대하여,박상영,문학동네,2022년 07월,"13,050"
"여름, 어디선가 시체가",박연선,놀,2016년 07월,"12,420"
봄봄,김유정,사피엔스21,2012년 02월,"6,300"
개밥바라기별,황석영,문학동네,2014년 01월,"12,600"
다다상조 회사,김재희,책과나무,2023년 12월,"13,050"
어쩔 수 없었어,박규숙,강,2023년 11월,"12,600"
태평천하,채만식,문학과지성사,2005년 01월,"8,100"
왓섭! 공포라디오 스페셜 에디션,왓섭!,북오션,2023년 03월,"14,400"
유쾌한 하녀 마리사,천명관,문학동네,2007년 09월,"15,300"
별일은 없고요?,이주란,한겨레출판,2023년 04월,"13,500"
K의 장례,천희란,현대문학,2023년 02월,"11,700"
가시고백,김려령,비룡소,2012년 02월,"11,700"
베니스의 개성상인 1,오세영,문예춘추사,2023년 01월,"15,120"
토지 인물 사전,이상진,마로니에북스,2012년 08월,"6,300"
베니스의 개성상인 2,오세영,문예춘추사,2023년 02월,"15,120"
길 없는 길 1,최인호,여백출판사,2021년 04월,"12,600"
한 달,이채윤,BOOKK(부크크),2022년 11월,"8,900"
너라는 생활,김혜진,문학동네,2020년 09월,"12,150"
무정,이광수,문학과지성사,2005년 11월,"11,700"
해저도시 타코야키,김청귤,래빗홀,2023년 03월,"13,500"
정글만리 2,조정래,해냄,2013년 07월,"14,850"
정글만리 1,조정래,해냄,2013년 07월,"14,850"
김영하 소설 결정판 박스 세트 1차분,김영하,복복서가,2020년 09월,"54,000"
[작가만남] 『불타는 작품』 윤고은 작가 북토크 with 김상욱 교수 (1인 입장권),윤고은,은행나무,2023년 11월,"5,000"
어쩌면 스무 번,편혜영,문학동네,2021년 03월,"12,150"
핀셋과 물고기,문서정,강,2023년 02월,"12,600"
그리고 아무도 없었다,황정은,책과나무,2023년 07월,"13,050"
화두 1,최인훈,문학과지성사,2008년 11월,"12,600"
인류보호회사 세트,짤짤이,시공사,2023년 08월,"67,500"
하얀 늑대들 10,윤현승,제우미디어,2020년 02월,"15,120"
인류보호회사 4,짤짤이,시공사,2023년 08월,"13,500"
길 없는 길 3,최인호,여백출판사,2021년 04월,"12,600"
길 없는 길 2,최인호,여백출판사,2021년 04월,"12,600"
빛의 과거,은희경,문학과지성사,2019년 08월,"12,600"
별뜨기에 관하여,이영도,황금가지,2020년 10월,"15,120"
라 트라비아타의 초상,도진기,황금가지,2017년 09월,"10,800"
인류보호회사 5,짤짤이,시공사,2023년 08월,"13,500"
길 없는 길 4,최인호,여백출판사,2021년 04월,"12,600"
꺼삐딴 리,전광용,사피엔스21,2014년 05월,"6,750"
소마,채사장,웨일북,2021년 12월,"13,500"
빛의 호위,조해진,창비,2017년 02월,"13,500"
보건교사 안은영,정세랑,민음사,2015년 12월,"11,700"
그 남자네 집,박완서,현대문학,2021년 01월,"11,700"
서로의 계절에 잠시,천선란,큐큐,2023년 10월,"12,150"
장길산 특별합본호 세트,황석영,창비,2020년 12월,"72,000"
미스 함무라비,문유석,문학동네,2016년 12월,"12,150"
물로 씌어진 이름 2,복거일,백년동안,2023년 07월,"18,000"
하버드 22학번,구하비,다산책방,2022년 09월,"14,400"
격리된 아이,김소연,우리학교,2020년 07월,"11,700"
마르타의 일,박서련,한겨레출판,2019년 09월,"12,600"
박완서 소설전집 결정판 세트,박완서,세계사,2012년 01월,"297,900"
혼불 2,최명희,매안출판사,2009년 07월,"10,450"
오즈의 마법사,L. 프랭크 바움,인디고(글담),2018년 01월,"13,320"
젊은 근희의 행진,이서수,은행나무,2023년 05월,"13,500"
설계자들,김언수,문학동네,2019년 01월,"13,050"
고구려 3,김진명,이타북스,2021년 06월,"14,220"
눈감지 마라,이기호,마음산책,2022년 09월,"13,500"
난의 혼 추사의 얼,전흥웅,맑은샘,2023년 11월,"13,500"
하늘이여 땅이여 2 (큰글자도서),김진명,이타북스,2023년 10월,"32,000"
하늘이여 땅이여 1 (큰글자도서),김진명,이타북스,2023년 10월,"32,000"
세계의 끝 여자친구,김연수,문학동네,2009년 09월,"10,800"
동백꽃,김유정,문학과지성사,2005년 04월,"11,700"
나를 찾지 마,김범,클레이하우스,2023년 05월,"15,030"
화이트 호스,강화길,문학동네,2020년 06월,"12,150"
태백산맥 3,조정래,해냄,2020년 10월,"15,750"
장난감 도시,이동하,문학과지성사,2009년 12월,"11,700"
가해자들,정소현,현대문학,2020년 10월,"11,700"
드래곤 라자 1,이영도,황금가지,2008년 11월,"13,500"
유예,오상원,문학과지성사,2008년 11월,"11,700"
메밀꽃 필 무렵,이효석,문학과지성사,2007년 11월,"11,700"
서른의 반격,손원평,은행나무,2023년 06월,"11,250"
나비 사냥,박영광,매드픽션,2013년 05월,"12,600"
흑산 黑山,김훈,학고재,2011년 10월,"12,420"
이상한 나라의 스물셋,김청귤,&(앤드),2023년 04월,"12,600"
새,오정희,문학과지성사,2017년 09월,"10,800"
한성요괴상점,기구름,CLB BOOKS,2023년 03월,"14,220"
소문의 벽,이청준,문학과지성사,2011년 08월,"12,600"
"재인, 재욱, 재훈",정세랑,은행나무,2021년 09월,"10,800"
소금,박범신,한겨레출판,2022년 05월,"14,400"
세계의 호수,정용준,arte(아르테),2019년 10월,"9,000"
한 명,김숨,현대문학,2016년 08월,"13,500"
그대 아직도 꿈꾸고 있는가,박완서,세계사,2012년 01월,"13,500"
세 개의 빛,임재희,은행나무,2023년 09월,"13,500"
달력 뒤에 쓴 유서  ,민병훈,민음사,2023년 01월,"12,600"
달러구트 꿈 백화점 (큰글자도서),이미예,팩토리나인,2022년 09월,"32,000"
잼 한 병을 받았습니다,홍락훈,에이플랫,2023년 09월,"15,750"
해녀들,채헌,네오픽션,2023년 08월,"13,500"
유품정리사,정명섭,한겨레출판,2019년 05월,"12,600"
표백,장강명,한겨레출판,2020년 09월,"12,420"
혼불 1,최명희,매안출판사,2009년 07월,"10,450"
무녀도,김동리,문학과지성사,2004년 12월,"11,700"
공산주의자가 온다!,이신주,아작,2023년 08월,"15,120"
하얀 늑대들 11,윤현승,제우미디어,2020년 02월,"15,120"
The Wings,Yi Sang,지문당,2001년 10월,"4,750"
천사들의 도시,조해진,민음사,2023년 05월,"13,500"
주종은 가리지 않습니다만 ,김혜나,&(앤드),2023년 11월,"11,700"
부디 너희 세상에도,남유하,고블,2023년 03월,"13,500"
궤변 말하기 대회,김동식,요다,2022년 07월,"11,700"
깊고 푸른 밤,최인호,문학사상,2001년 10월,"10,800"
살煞,박해로,네오픽션,2018년 03월,"11,700"
"알로하, 나의 엄마들",이금이,창비,2020년 03월,"14,400"
나스타샤 ,조지수,지혜정원,2020년 04월,"15,300"
영웅의 조건 2,이원호,반딧불이(한결미디어),2019년 06월,"13,500"
영웅의 조건 1,이원호,반딧불이(한결미디어),2019년 06월,"13,500"
0번 버스는 2번 지구로 향한다,김준녕,고블,2023년 10월,"15,120"
우리들의 행복한 시간 ,공지영,해냄,2016년 08월,"15,120"
162번째 세계의 태임이,남유하,북멘토,2023년 12월,"12,420"
드보크,라문찬,나무옆의자,2023년 12월,"15,300"
나의 피투성이 연인,정미경,민음사,2020년 05월,"11,700"
드라이버에 40번 찔린 시체에 관하여,황세연,네오픽션,2023년 10월,"15,030"
녹슬지 않는 세계,김아직,북다,2023년 10월,"13,500"
천변풍경,박태원,문학과지성사,2005년 01월,"9,900"
바람으로 그린 그림,김홍신,해냄,2017년 08월,"12,600"
막장의 품격,김희재,CABNET(캐비넷),2023년 11월,"12,600"
혼불 9,최명희,매안출판사,2009년 07월,"10,450"
더 데이,지니,좋은땅,2023년 11월,"15,300"
바캉스 소설,김사과,문학동네,2023년 06월,"14,400"
그네,김근하,화니콤,2023년 10월,"11,400"
아직 멀었다는 말,권여선,문학동네,2020년 02월,"12,150"
푸른 고양이,송지은,푸른사상,2020년 05월,"14,250"
댓글부대,장강명,은행나무,2015년 11월,"10,800"
"청도, 달큼한 장미 향",김은제,도서출판등,2023년 10월,"13,500"
아홉 꼬리의 전설,배상민,북다,2023년 12월,"13,500"
뱀파이어 셜록,정명섭,돌베개,2023년 11월,"12,600"
하우스푸어 탈출기,백지영,알렙,2023년 11월,"13,050"
불신시대,박경리,문학과지성사,2021년 05월,"12,600"
아리랑 세트,조정래,해냄,2020년 10월,"189,000"
2022 제13회 젊은작가상 수상작품집,임솔아,문학동네,2022년 04월,"12,600"
여수의 사랑,한강,문학과지성사,2018년 11월,"12,600"
상아의 문으로,구병모,문학과지성사,2021년 11월,"12,600"
해를 품은 달 1,정은궐,파란 (파란미디어),2011년 10월,"11,700"
2021 김승옥문학상 수상작품집,문진영,문학동네,2021년 10월,"9,000"
한강 세트,조정래,해냄,2020년 11월,"157,500"
보테로 가족의 사랑 약국,이선영,클레이하우스,2022년 09월,"13,500"
오빠가 돌아왔다,김영하,복복서가,2020년 09월,"9,000"
물로 씌어진 이름 5,복거일,백년동안,2023년 07월,"18,000"
중증외상센터 : 골든 아워 6~10 세트,이낙준(한산이가),몬스터,2021년 08월,"67,500"
"사월의 미, 칠월의 솔",김연수,문학동네,2013년 11월,"13,500"
카인의 후예,황순원,문학과지성사,2006년 02월,"12,600"
당신의 별이 사라지던 밤,서미애,엘릭시르,2018년 02월,"12,420"
원미동 시인,양귀자,사피엔스21,2012년 02월,"7,200"
고양이달 2 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
갈팡질팡 하다가 내 이럴 줄 알았지,이기호,문학동네,2006년 10월,"10,800"
프롤로그 에필로그,정영문,문학동네,2022년 11월,"14,850"
마지막 외출,조지수,지혜정원,2023년 11월,"17,100"
러브 레플리카,윤이형,문학동네,2016년 01월,"13,950"
개의 설계사,단요,아작,2023년 06월,"15,120"
빛 속으로,김사량,녹색광선,2021년 08월,"15,750"
앨리스 앨리스 하고 부르면,우다영,문학과지성사,2020년 12월,"12,600"
인간시장 1,김홍신,해냄,2015년 05월,"13,320"
꺼삐딴 리,전광용,문학과지성사,2009년 11월,"11,700"
망해버린 이번 생을 애도하며,정지혜,몽실북스,2022년 02월,"13,050"
