제목,저자,출판사,출판일,가격
홈 스위트 홈,최진영,문학사상,2023년 02월,"13,950"
있을 법한 모든 것,구병모,문학동네,2023년 07월,"13,500"
한국고전소설 40,권정현,리베르,2013년 01월,"15,120"
이끼숲,천선란,자이언트북스,2023년 05월,"14,220"
밝은 밤 (특별 한정 에디션),최은영,문학동네,2022년 07월,"11,250"
망원동 브라더스,김호연,나무옆의자,2013년 07월,"11,700"
우리가 겨울을 지나온 방식,문미순,나무옆의자,2023년 05월,"12,600"
7년의 밤,정유정,은행나무,2011년 03월,"13,050"
세계를 건너 너에게 갈게,이꽃님,문학동네,2020년 11월,"12,600"
인생 박물관,김동식,요다,2023년 03월,"13,500"
86학번 승연이,박선경,북앤피플,2023년 11월,"15,300"
노량,박은우,고즈넉이엔티,2023년 11월,"15,300"
"보이지 않는 도시, 퍼머루트 1부 : 공중에 떠 있는 집 2",E. S. 호버트,팩토리나인,2023년 11월,"12,150"
일의 기쁨과 슬픔,장류진,창비,2019년 10월,"12,600"
파쇄,구병모,위즈덤하우스,2023년 03월,"11,700"
[예스리커버] 트로피컬 나이트,조예은,한겨레출판,2023년 08월,"13,500"
한국단편소설 70,박완서,리베르,2013년 01월,"15,120"
방금 떠나온 세계,김초엽,한겨레출판,2021년 10월,"13,500"
그 많던 싱아는 누가 다 먹었을까,박완서,웅진지식하우스,2021년 01월,"11,700"
청년 주부 구운몽,강선우,고즈넉이엔티,2023년 02월,"13,500"
공룡의 이동 경로,김화진,스위밍꿀,2023년 08월,"13,500"
트로피컬 나이트,조예은,한겨레출판,2022년 08월,"13,500"
사랑의 이해,이혁진,민음사,2019년 04월,"13,500"
희망,양귀자,쓰다,2020년 06월,"17,820"
돌이킬 수 있는,문목하,아작,2018년 12월,"13,320"
비상문,최진영,미메시스,2018년 09월,"7,020"
테디베어는 죽지 않아,조예은,안전가옥,2023년 06월,"15,030"
고래,천명관,문학동네,2004년 12월,"13,500"
크리스마스 타일,김금희,창비,2022년 11월,"13,500"
불타는 작품,윤고은,은행나무,2023년 10월,"15,120"
여름의 빌라,백수린,문학동네,2020년 07월,"13,320"
[최근담] 그래머블 제로 Grammable zero,박서련,예스이십사,2022년 05월,0
내게 무해한 사람 (특별 한정 에디션),최은영,문학동네,2022년 07월,"10,350"
축복을 비는 마음,김혜진,문학과지성사,2023년 11월,"14,400"
고통에 관하여,정보라,다산책방,2023년 08월,"16,200"
칼의 노래,김훈,문학동네,2014년 01월,"13,500"
범도 1,방현석,문학동네,2023년 06월,"18,000"
미래의 조각,정영수,현대문학,2023년 12월,"13,500"
내게 무해한 사람,최은영,문학동네,2018년 06월,"13,050"
범도 2,방현석,문학동네,2023년 06월,"18,000"
유령의 마음으로,임선우,민음사,2022년 03월,"11,700"
두 번째 기회,권여원,에디아(Edia),2023년 11월,"10,800"
승부 1,조세래,문예춘추사,2023년 12월,"15,120"
순이 삼촌,현기영,창비,2015년 03월,"14,400"
제인의 마법 살롱,박승희,허블,2023년 10월,"15,120"
비행운,김애란,문학과지성사,2012년 07월,"10,800"
꿰맨 눈의 마을,조예은,자음과모음,2023년 12월,"11,700"
탱크,김희재,한겨레출판,2023년 07월,"13,500"
곰탕 1,김영탁,arte(아르테),2018년 03월,"15,300"
중급 한국어,문지혁,민음사,2023년 03월,"12,600"
대도시의 사랑법,박상영,창비,2019년 07월,"12,600"
고구려 7,김진명,이타북스,2021년 06월,"14,220"
사랑과 혁명 1,김탁환,해냄,2023년 09월,"16,920"
토지 1,박경리,다산책방,2023년 06월,"15,300"
성은이 냥극하옵니다,백승화,안전가옥,2023년 11월,"10,800"
최소한의 최선,문진영,문학동네,2023년 10월,"14,400"
희랍어 시간,한강,문학동네,2011년 11월,"11,700"
사랑 후에 오는 것들 다이어리 세트,공지영,소담출판사,2005년 12월,"21,600"
알래스카 한의원,이소영,사계절,2023년 03월,"13,500"
빨치산의 딸 1,정지아,필맥,2023년 06월,"13,500"
아무것도 아닌 빛,정영선,강,2023년 02월,"12,600"
승부 2,조세래,문예춘추사,2023년 12월,"15,120"
흰,한강,문학동네,2018년 04월,"11,250"
곰탕 2,김영탁,arte(아르테),2018년 03월,"15,300"
빨치산의 딸 2,정지아,필맥,2023년 06월,"13,500"
죽어나간 시간을 위한 애도,김홍신,해냄,2023년 10월,"16,020"
도깨비 2,김수연,알에이치코리아(RHK),2017년 02월,"12,420"
어느 날 내가 죽었습니다,이경혜,바람의아이들,2004년 04월,"12,600"
죽이고 싶은 아이,이꽃님,우리학교,2021년 10월,"12,600"
사랑 후에 오는 것들,공지영,소담출판사,2005년 12월,"10,800"
겨울 간식집,박연준,읻다,2023년 11월,"15,120"
사랑과 혁명 2,김탁환,해냄,2023년 09월,"16,920"
날개,이상,문학과지성사,2005년 04월,"12,600"
겨울나그네 1,최인호,열림원,2023년 12월,"15,300"
사랑과 혁명 3,김탁환,해냄,2023년 09월,"16,920"
도깨비 1,김수연,알에이치코리아(RHK),2017년 01월,"12,420"
밸런스 게임,김동식,요다,2021년 03월,"11,700"
[예스리커버] 천 개의 파랑,천선란,허블,2022년 11월,"12,600"
이상 소설 전집,이상,민음사,2012년 11월,"11,700"
나의 아름다운 정원,심윤경,한겨레출판,2013년 11월,"9,900"
"바람이 분다, 가라",한강,문학과지성사,2010년 02월,"12,600"
나주에 대하여,김화진,문학동네,2022년 10월,"13,500"
눈물을 마시는 새 특별판 세트 ,이영도,황금가지,2023년 05월,"90,000"
초급 한국어,문지혁,민음사,2020년 11월,"12,600"
제주도우다 1,현기영,창비,2023년 07월,"15,300"
연결하는 소설,김애란,창비교육,2023년 06월,"15,300"
겨울나그네 2,최인호,열림원,2023년 12월,"15,300"
벽사아씨전,박에스더,안전가옥,2023년 09월,"14,400"
264일의 쿠데타 1,노가원,시아컨텐츠,2017년 10월,"13,500"
소설 보다 : 봄 2023,강보라,문학과지성사,2023년 03월,"3,150"
소설 보다 : 여름 2023,공현진,문학과지성사,2023년 06월,"3,150"
구의 증명,최진영,은행나무,2015년 03월,"7,200"
모두의 연수,김려령,비룡소,2023년 05월,"13,500"
디 에센셜 한강,한강,문학동네,2023년 06월,"15,300"
그 산이 정말 거기 있었을까,박완서,웅진지식하우스,2021년 01월,"11,700"
종의 기원담,김보영,아작,2023년 06월,"15,120"
"리옹, 불시착",미요나,다향,2023년 11월,"8,100"
행성어 서점,김초엽,마음산책,2021년 11월,"13,050"
느티나무 수호대,김중미,돌베개,2023년 03월,"12,600"
중고생이 꼭 읽어야 할 한국단편소설 45,오대교,생각뿔,2019년 08월,"19,800"
라스팔마스는 없다,오성은,은행나무,2023년 11월,"15,120"
땀 흘리는 소설,김혜진,창비교육,2019년 03월,"13,500"
아홉수 가위,범유진,안전가옥,2021년 10월,"11,700"
"정말 미안하지만, 나는 아무렇지도 않았다",김동식,요다,2018년 04월,"11,700"
경우 없는 세계,백온유,창비,2023년 03월,"13,500"
내가 되는 꿈,최진영,현대문학,2021년 02월,"12,600"
테스터,이희영,허블,2022년 11월,"12,600"
마당이 있는 집,김진영,엘릭시르,2018년 04월,"12,420"
아홉살 인생,위기철,현북스,2020년 05월,"10,800"
므레모사,김초엽,현대문학,2021년 12월,"12,600"
세상에서 가장 약한 요괴,김동식,요다,2017년 12월,"11,700"
튜브,손원평,창비,2022년 07월,"13,500"
물 만난 물고기,이찬혁,수카,2019년 09월,"13,500"
양심 고백,김동식,요다,2018년 04월,"11,700"
아는 사람의 연애,강도율,답,2023년 12월,"13,500"
하쿠다 사진관 ,허태연,놀,2022년 07월,"13,950"
"너는, 어느 계절에 죽고 싶어",홍선기,모모,2023년 06월,"15,120"
가슴 뛰는 소설 : 사랑이 움직이는 순간,박상영,창비교육,2020년 08월,"14,400"
구원의 날,정해연,시공사,2023년 08월,"14,220"
보스를 아십니까,김만성,보민출판사,2023년 12월,"13,500"
남한산성,김훈,학고재,2017년 07월,"14,400"
제주도우다 3,현기영,창비,2023년 07월,"15,300"
