순위,제목,가수,앨범,좋아요 수
87,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"432,875"
88,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1,"23,110"
89,3D (feat. Jack Harlow),정국,3D (feat. Jack Harlow),"56,096"
90,나에게 그대만이,탑현,나에게 그대만이,"45,817"
91,여섯 번째 여름,PLAVE,ASTERUM : The Shape of Things to Come,"32,115"
92,사랑..그게 뭔데,지아,사랑..그게 뭔데,"33,115"
93,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,"119,389"
94,Be There For Me,NCT 127,Be There For Me - Winter Special Single,"24,747"
95,Yes or No,정국,GOLDEN,"33,686"
96,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),"26,053"
97,Closer Than This,지민,Closer Than This,"21,733"
98,Fact Check (불가사의; 不可思議),NCT 127,Fact Check - The 5th Album,"42,160"
99,Last Christmas,Ariana Grande,Christmas Kisses,"71,024"
100,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,"23,660"
